Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Planet_Radius,Planet_Mass,Tday,Temp_equilibrium,log10g_p,Period,Transit_Duration,K_mag,Distance,Temp_stellar_eff,log10g_s,Transit_Flag,Catalog_Name
Kepler-1438 b,0.0,0.0,0.003,0.08,0.002352,1685.0,1416.0,2.917,2.3194,1.6121,13.1,866.0,5530.0,4.46,True,exoplanets.org
Kepler-272 b,0.0,0.001,0.004,0.13,0.010063,1454.0,1223.0,3.185,2.9714,2.648,12.7,,5297.0,4.426,True,exoplanets.org
Kepler-1439 b,0.0,0.0,0.006,0.13,0.010712,545.0,458.0,3.196,8.0739,2.2169,12.7,215.0,3578.0,4.83,True,exoplanets.org
Kepler-1440 b,0.0,0.0,0.003,0.11,0.006482,671.0,565.0,3.107,39.8595,8.0592,12.6,685.0,5698.0,4.46,True,exoplanets.org
Kepler-1441 b,0.0,0.0,0.003,0.12,0.007523,698.0,587.0,3.134,39.442,7.285,12.7,751.0,5802.0,4.45,True,exoplanets.org
Kepler-272 c,0.0,0.001,0.005,0.16,0.013191,1147.0,964.0,3.108,6.0573,3.695,12.7,,5297.0,4.426,True,exoplanets.org
Kepler-1442 b,0.0,0.001,0.014,0.35,0.049575,690.0,581.0,2.999,81.4163,12.1444,11.0,525.0,6394.0,4.25,True,exoplanets.org
Kepler-1443 b,0.001,0.0,0.007,0.09,0.002665,2100.0,1766.0,2.941,2.4181,2.1941,11.0,475.0,6289.0,4.3,True,exoplanets.org
Kepler-1444 b,0.0,0.0,0.011,0.19,0.016274,753.0,633.0,3.03,33.4204,5.0911,10.8,340.0,5810.0,4.4,True,exoplanets.org
Kepler-274 c,0.0,0.0,0.002,0.16,0.013548,770.0,647.0,3.096,33.1979,4.544,13.5,,6023.0,4.44,True,exoplanets.org
Kepler-1445 b,0.0,0.0,0.006,0.09,0.002558,1261.0,1060.0,2.933,10.6005,4.4839,11.1,482.0,6150.0,4.28,True,exoplanets.org
Kepler-1446 b,0.002,0.001,0.022,0.07,0.00143,2022.0,1700.0,2.823,0.69,1.2135,10.2,162.0,4865.0,4.6,True,exoplanets.org
Kepler-1447 b,0.0,0.0,0.006,0.26,0.025245,598.0,502.0,2.97,56.6747,5.4221,13.1,871.0,5722.0,4.47,True,exoplanets.org
Kepler-275 b,0.0,0.0,0.003,0.21,0.017891,1364.0,1147.0,3.008,10.3007,4.967,14.0,,6165.0,4.229,True,exoplanets.org
Kepler-1448 b,0.0,0.0,0.003,0.14,0.01201,997.0,838.0,3.157,12.2707,3.1061,12.9,786.0,5774.0,4.49,True,exoplanets.org
Kepler-1449 b,0.0,0.0,0.002,0.15,0.012449,1072.0,901.0,3.137,13.2275,6.1039,13.6,1321.0,5979.0,4.39,True,exoplanets.org
Kepler-1450 b,0.0,0.0,0.003,0.15,0.012674,427.0,359.0,3.128,54.5094,4.2221,12.9,490.0,4524.0,4.63,True,exoplanets.org
Kepler-266 c,0.0,0.0,0.005,0.35,0.048158,513.0,432.0,2.996,107.7236,8.08,13.8,,5885.0,4.453,True,exoplanets.org
Kepler-1451 b,0.0,0.0,0.005,0.3,0.033781,716.0,602.0,2.972,35.6222,5.1461,13.7,1159.0,5782.0,4.45,True,exoplanets.org
Kepler-1452 b,0.0,0.0,0.003,0.24,0.022236,967.0,813.0,2.977,42.9138,5.1211,11.6,974.0,6101.0,3.95,True,exoplanets.org
Kepler-1453 b,0.0,0.0,0.003,0.24,0.021778,626.0,526.0,2.979,47.1612,4.0589,14.0,1284.0,5665.0,4.48,True,exoplanets.org
Kepler-146 b,0.0,0.001,0.008,0.33,0.042789,851.0,715.0,2.986,31.1588,5.189,12.5,,5948.0,4.312,True,exoplanets.org
Kepler-1454 b,0.0,0.0,0.003,0.17,0.013866,583.0,490.0,3.086,47.0319,5.9059,13.2,795.0,5448.0,4.53,True,exoplanets.org
