Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Planet_Radius,Planet_Mass,Tday,Temp_equilibrium,log10g_p,Period,Transit_Duration,K_mag,Distance,Temp_stellar_eff,log10g_s,Transit_Flag,Catalog_Name
55 Cnc e,0.343,0.124,0.314,0.19,0.026367,2326.0,1956.0,3.235,0.7365,1.6416,4.0,12.34,5196.0,4.45,True,exoplanets.org
KOI 2882.01,0.0,0.0,0.008,0.24,0.023332,365.0,307.0,2.992,75.858,5.382,13.0,,4474.0,4.67,True,exoplanets.org
CoRoT-10 b,0.0,0.013,0.007,0.97,2.75536,796.0,669.0,3.858,13.2406,2.98,11.8,344.95,5075.0,4.65,True,exoplanets.org
CoRoT-11 b,0.159,0.094,0.027,1.43,2.34813,2057.0,1730.0,3.458,2.9943,2.5008,11.2,558.97,6440.0,4.22,True,exoplanets.org
CoRoT-12 b,0.043,0.041,0.031,1.44,0.91918,1714.0,1441.0,3.046,2.828,2.5742,13.6,1150.0,5675.0,4.375,True,exoplanets.org
CoRoT-13 b,0.01,0.016,0.007,0.89,1.31099,1514.0,1273.0,3.612,4.0352,3.14,13.4,1310.62,5945.0,4.3,True,exoplanets.org
CoRoT-14 b,0.057,0.024,0.001,1.09,7.69464,2318.0,1949.0,4.208,1.5121,1.662,13.8,1340.0,6035.0,4.35,True,exoplanets.org
CoRoT-16 b,0.011,0.021,0.027,1.17,0.537982,1420.0,1194.0,2.991,5.3523,2.39,12.8,840.0,5650.0,4.36,True,exoplanets.org
CoRoT-17 b,0.038,0.029,0.005,1.02,2.46001,1844.0,1551.0,3.813,3.7681,4.72,12.5,920.0,5740.0,4.4,True,exoplanets.org
CoRoT-18 b,0.081,0.062,0.01,1.31,3.48652,1813.0,1524.0,3.707,1.9001,2.387,13.0,870.0,5440.0,4.4,True,exoplanets.org
CoRoT-19 b,0.085,0.054,0.028,1.29,1.10792,1971.0,1658.0,3.239,3.8971,4.7,11.8,770.0,6090.0,4.07,True,exoplanets.org
CoRoT-1 b,0.308,0.134,0.078,1.49,1.02979,2257.0,1898.0,3.057,1.509,2.5109,12.1,,5950.0,4.25,True,exoplanets.org
CoRoT-20 b,0.001,0.009,0.002,0.84,4.24,1133.0,953.0,4.18,9.2429,2.2248,12.5,1230.0,5880.0,4.2,True,exoplanets.org
CoRoT-22 b,0.001,0.004,0.035,0.45,0.0383,1194.0,1004.0,2.738,9.756,4.488,12.0,592.0,5939.0,4.361,True,exoplanets.org
CoRoT-23 b,0.043,0.028,0.004,1.05,3.0853,1950.0,1640.0,3.841,3.6313,3.888,12.4,599.99,5900.0,4.3,True,exoplanets.org
CoRoT-25 b,0.011,0.016,0.036,1.08,0.27,1570.0,1320.0,2.835,4.8607,1.92,12.8,1000.0,6040.0,4.28,True,exoplanets.org
CoRoT-26 b,0.035,0.025,0.028,1.26,0.479479,1870.0,1573.0,2.883,4.2047,5.47,13.3,1670.0,5590.0,4.1,True,exoplanets.org
CoRoT-27 b,0.022,0.026,0.001,1.01,10.3882,1626.0,1367.0,4.378,3.5753,2.77,13.0,,5900.0,4.4,True,exoplanets.org
CoRoT-28 b,0.031,0.034,0.03,0.95,0.484,1620.0,1362.0,3.121,5.2085,5.7,11.0,560.0,5150.0,3.94,True,exoplanets.org
CoRoT-29 b,0.012,0.022,0.012,0.9,0.85,1448.0,1218.0,3.417,2.8506,2.088,13.0,765.0,5260.0,4.3,True,exoplanets.org
CoRoT-2 b,0.408,0.315,0.061,1.47,3.27527,1826.0,1535.0,3.585,1.743,2.267,10.3,,5625.0,,True,exoplanets.org
CoRoT-3 b,0.052,0.034,0.001,1.01,21.8549,2013.0,1693.0,4.73,4.2568,3.765,11.6,833.33,6740.0,4.23,True,exoplanets.org
CoRoT-4 b,0.008,0.028,0.037,1.19,0.717419,1276.0,1073.0,3.099,9.202,4.6714,12.3,,6190.0,4.41,True,exoplanets.org
CoRoT-5 b,0.05,0.051,0.082,1.39,0.462537,1708.0,1436.0,2.772,4.0379,2.8475,12.5,,6100.0,4.19,True,exoplanets.org
CoRoT-6 b,0.007,0.032,0.01,1.17,2.95364,1208.0,1016.0,3.733,8.8866,4.079,12.1,,6090.0,4.44,True,exoplanets.org
CoRoT-7 b,0.01,0.004,0.019,0.14,0.014,2150.0,1808.0,3.143,0.8536,1.125,9.8,149.93,5275.0,4.5,True,exoplanets.org
CoRoT-8 b,0.001,0.011,0.027,0.57,0.216078,1014.0,853.0,3.231,6.2123,2.74,11.5,380.23,5080.0,4.58,True,exoplanets.org
CoRoT-9 b,0.0,0.002,0.022,1.05,0.843564,490.0,412.0,3.278,95.2738,8.08,11.7,459.98,5625.0,4.54,True,exoplanets.org
GJ 1214 b,0.0,0.023,0.362,0.24,0.020351,665.0,559.0,2.95,1.5804,0.8788,8.8,12.95,3026.0,4.991,True,exoplanets.org
GJ 3470 b,0.001,0.031,0.275,0.37,0.044009,775.0,652.0,2.904,3.3366,1.9176,8.0,,3600.0,,True,exoplanets.org
GJ 436 b,0.001,0.061,0.31,0.38,0.072698,771.0,649.0,3.106,2.6439,0.7608,6.1,10.14,3350.0,4.843,True,exoplanets.org
HAT-P-11 b,0.006,0.054,0.221,0.42,0.082535,1034.0,870.0,3.065,4.8878,2.2968,7.0,37.47,4780.0,4.59,True,exoplanets.org
HAT-P-12 b,0.021,0.106,0.312,0.96,0.210804,1138.0,957.0,2.756,3.2131,2.3376,10.1,142.5,4650.0,4.61,True,exoplanets.org
HAT-P-13 b,0.325,0.202,0.126,1.28,0.85708,1957.0,1646.0,3.114,2.9162,3.228,9.0,202.02,5653.0,4.13,True,exoplanets.org
HAT-P-14 b,0.147,0.119,0.033,1.15,2.23603,1860.0,1564.0,3.624,4.6277,2.1888,8.9,204.92,6600.0,4.25,True,exoplanets.org
Kepler-102 d,,,,0.11,0.00575,824.0,693.0,3.109,10.3117,,9.4,,4903.0,4.607,True,exoplanets.org
HAT-P-15 b,0.008,0.068,0.035,1.07,1.95154,1067.0,897.0,3.627,10.8635,5.484,9.7,190.11,5568.0,4.38,True,exoplanets.org
HAT-P-16 b,0.3,0.208,0.03,1.29,4.2025,1930.0,1623.0,3.799,2.776,3.0624,9.6,235.0,6158.0,4.34,True,exoplanets.org
Kepler-103 c,,,,0.46,0.087763,502.0,422.0,3.015,179.612,,10.9,,5845.0,4.162,True,exoplanets.org
Kepler-106 c,,,,0.22,0.032848,1027.0,863.0,3.214,13.5708,,11.4,,5858.0,4.407,True,exoplanets.org
HAT-P-17 b,0.005,0.103,0.222,1.01,0.530158,925.0,778.0,3.115,10.3385,4.0584,8.5,90.0,5246.0,4.53,True,exoplanets.org
HAT-P-18 b,0.006,0.068,0.293,0.99,0.197205,1007.0,846.0,2.696,5.508,2.7144,10.2,166.0,4803.0,4.57,True,exoplanets.org
Kepler-107 e,0.0,0.002,0.016,0.31,0.036046,1160.0,976.0,2.975,14.749,6.588,11.1,,5851.0,4.196,True,exoplanets.org
Kepler-110 c,0.0,0.0,0.007,0.2,0.016604,826.0,695.0,3.025,31.7198,4.823,11.6,,5960.0,4.327,True,exoplanets.org
HAT-P-19 b,0.024,0.102,0.256,1.13,0.292273,1198.0,1008.0,2.755,4.0088,2.8368,10.5,215.0,4990.0,4.54,True,exoplanets.org
HAT-P-1 b,0.139,0.203,0.27,1.24,0.532369,1550.0,1303.0,2.935,4.4653,2.7844,8.9,155.28,5975.0,4.382,True,exoplanets.org
Kepler-115 c,0.0,0.001,0.01,0.23,0.020891,1292.0,1087.0,2.983,8.9909,4.083,12.0,,5979.0,4.306,True,exoplanets.org
Kepler-117 c,0.0,0.004,0.008,1.01,0.923754,827.0,696.0,3.353,50.7904,10.898,13.0,,6169.0,4.187,True,exoplanets.org
HAT-P-20 b,0.035,0.166,0.012,0.87,7.28953,1153.0,970.0,4.383,2.8753,1.848,8.6,70.0,4595.0,4.63,True,exoplanets.org
HAT-P-21 b,0.063,0.097,0.013,1.02,4.07833,1512.0,1272.0,3.988,4.1245,3.672,10.1,254.0,5588.0,4.33,True,exoplanets.org
Kepler-119 c,0.0,0.0,0.005,0.08,0.002166,1308.0,1100.0,2.901,4.1251,2.84,12.6,,5595.0,4.567,True,exoplanets.org
Kepler-121 c,0.0,0.0,0.006,0.2,0.017182,528.0,444.0,3.016,41.008,3.978,12.8,,5311.0,4.646,True,exoplanets.org
HAT-P-22 b,0.232,0.332,0.083,1.08,2.15137,1522.0,1280.0,3.664,3.2122,2.8704,7.8,82.0,5302.0,4.36,True,exoplanets.org
HAT-P-23 b,0.538,0.193,0.047,1.37,2.09606,2436.0,2048.0,3.445,1.2129,2.1792,10.8,393.0,5905.0,4.33,True,exoplanets.org
Kepler-122 e,0.0,0.0,0.005,0.23,0.020891,813.0,683.0,2.983,37.9933,7.155,12.8,,6050.0,4.299,True,exoplanets.org
Kepler-125 c,0.0,0.0,0.01,0.07,0.001004,622.0,523.0,2.757,5.7745,1.878,11.7,,3810.0,4.744,True,exoplanets.org
HAT-P-24 b,0.169,0.117,0.104,1.24,0.685857,1943.0,1634.0,3.043,3.3552,3.6936,10.5,396.0,6373.0,4.27,True,exoplanets.org
Kepler-127 d,0.0,0.001,0.014,0.24,0.021409,798.0,671.0,2.981,48.6304,7.018,10.2,,6106.0,4.265,True,exoplanets.org
Kepler-132 c,0.0,0.001,0.007,0.11,0.006927,1436.0,1207.0,3.119,6.4149,3.3,10.4,,6003.0,4.31,True,exoplanets.org
Kepler-134 c,0.0,0.0,0.004,0.11,0.006564,1229.0,1033.0,3.11,10.1058,2.059,11.0,,5983.0,4.31,True,exoplanets.org
Kepler-137 c,0.0,0.0,0.009,0.17,0.013842,716.0,602.0,3.086,18.7358,3.005,11.2,,5187.0,4.553,True,exoplanets.org
HAT-P-25 b,0.051,0.099,0.118,1.19,0.567181,1429.0,1202.0,2.999,3.6528,2.8176,10.8,297.0,5500.0,4.48,True,exoplanets.org
Kepler-142 c,0.002,0.002,0.012,0.26,0.024563,1587.0,1335.0,2.971,4.7617,3.303,11.8,,5790.0,4.262,True,exoplanets.org
Kepler-144 c,0.0,0.0,0.004,0.12,0.008298,1279.0,1075.0,3.152,10.1047,2.278,10.8,,6075.0,4.289,True,exoplanets.org
Kepler-147 c,0.0,0.0,0.005,0.22,0.018861,926.0,779.0,2.998,33.4164,7.293,12.4,,6012.0,4.182,True,exoplanets.org
Kepler-149 c,0.0,0.0,0.003,0.14,0.011984,564.0,475.0,3.158,55.3283,6.948,12.2,,5381.0,4.465,True,exoplanets.org
HAT-P-26 b,0.008,0.037,0.246,0.56,0.058649,1180.0,993.0,2.66,4.2345,2.4552,9.6,134.0,5079.0,4.56,True,exoplanets.org
Kepler-151 c,0.0,0.0,0.004,0.19,0.015523,700.0,588.0,3.044,24.6746,3.014,12.9,,5460.0,4.555,True,exoplanets.org
Kepler-153 c,0.0,0.0,0.006,0.23,0.020022,579.0,487.0,2.989,46.9023,3.826,12.4,,5404.0,4.446,True,exoplanets.org
Kepler-155 c,0.0,0.0,0.008,0.2,0.016889,388.0,326.0,3.02,52.6618,3.188,11.8,,4508.0,4.684,True,exoplanets.org
Kepler-158 c,0.0,0.0,0.008,0.17,0.013992,489.0,411.0,3.082,28.5514,4.248,12.1,,4623.0,4.66,True,exoplanets.org
HAT-P-27 b,0.045,0.094,0.085,1.02,0.617485,1387.0,1167.0,3.176,3.0396,1.68,10.1,204.0,5190.0,4.5,True,exoplanets.org
Kepler-160 c,0.0,0.001,0.012,0.32,0.04006,942.0,792.0,2.981,13.6991,4.807,13.1,,5857.0,4.51,True,exoplanets.org
Kepler-162 c,0.0,0.001,0.008,0.27,0.027386,867.0,729.0,2.968,19.4464,3.527,12.7,,5816.0,4.436,True,exoplanets.org
Kepler-164 c,0.0,0.001,0.006,0.24,0.022635,1163.0,978.0,2.976,10.9457,3.004,12.9,,5888.0,4.331,True,exoplanets.org
Kepler-166 c,0.0,0.0,0.007,0.21,0.018314,588.0,494.0,3.003,34.2603,4.84,12.9,,5413.0,4.619,True,exoplanets.org
HAT-P-28 b,0.083,0.094,0.091,1.21,0.627833,1641.0,1380.0,3.026,3.2572,3.2184,11.1,395.0,5680.0,4.36,True,exoplanets.org
Kepler-169 d,0.0,0.0,0.004,0.11,0.006387,881.0,741.0,3.105,8.3481,2.79,12.2,,4997.0,4.582,True,exoplanets.org
Kepler-170 c,0.0,0.001,0.008,0.26,0.024563,926.0,779.0,2.971,16.6659,4.2,12.7,,5679.0,4.445,True,exoplanets.org
Kepler-172 c,0.0,0.001,0.008,0.26,0.024563,1270.0,1068.0,2.971,6.389,3.389,12.8,,5526.0,4.375,True,exoplanets.org
Kepler-173 c,0.0,0.001,0.008,0.22,0.018861,1203.0,1011.0,2.998,8.0058,3.129,12.7,,6031.0,4.404,True,exoplanets.org
HAT-P-29 b,0.041,0.071,0.061,1.11,0.779004,1494.0,1256.0,3.202,5.7232,3.3768,10.3,322.0,6087.0,4.34,True,exoplanets.org
Kepler-175 c,0.0,0.0,0.007,0.28,0.028656,770.0,647.0,2.968,34.0353,7.057,13.5,,6064.0,4.472,True,exoplanets.org
Kepler-178 c,0.0,0.0,0.005,0.26,0.024876,876.0,737.0,2.97,20.5528,2.205,12.9,,5676.0,4.334,True,exoplanets.org
Kepler-180 c,0.0,0.0,0.007,0.27,0.027035,697.0,586.0,2.968,41.8858,6.241,12.7,,5731.0,4.343,True,exoplanets.org
Kepler-183 b,0.0,0.001,0.004,0.18,0.015267,1322.0,1112.0,3.049,5.6879,2.214,13.3,,5888.0,4.502,True,exoplanets.org
HAT-P-2 b,0.233,0.252,0.015,1.16,8.87066,1697.0,1427.0,4.294,5.6335,4.2888,7.6,114.42,6290.0,4.16,True,exoplanets.org
Kepler-185 b,0.0,0.001,0.005,0.1,0.005081,1626.0,1367.0,3.063,1.6329,1.559,12.5,,5208.0,4.545,True,exoplanets.org
Kepler-188 c,0.001,0.001,0.008,0.28,0.030386,1449.0,1219.0,2.968,5.9966,3.231,13.1,,6021.0,4.346,True,exoplanets.org
Kepler-194 b,0.001,0.001,0.003,0.13,0.012045,1973.0,1659.0,3.216,2.0923,2.351,13.5,,6089.0,4.415,True,exoplanets.org
Kepler-195 c,0.0,0.0,0.003,0.14,0.011604,592.0,498.0,3.177,34.0969,3.904,13.0,,5329.0,4.603,True,exoplanets.org
HAT-P-30 b,0.341,0.234,0.213,1.34,0.711088,1944.0,1635.0,2.993,2.8106,2.1288,9.2,193.0,6304.0,4.36,True,exoplanets.org
Kepler-197 c,0.0,0.0,0.007,0.11,0.006042,1194.0,1004.0,3.095,10.3497,4.251,10.5,,6004.0,4.304,True,exoplanets.org
Kepler-199 b,0.0,0.001,0.012,0.28,0.028843,792.0,666.0,2.968,23.6376,4.954,12.1,,5644.0,4.438,True,exoplanets.org
Kepler-201 c,0.0,0.0,0.008,0.25,0.024407,516.0,434.0,2.971,151.8841,12.99,11.7,,6065.0,4.294,True,exoplanets.org
Kepler-203 d,0.0,0.0,0.003,0.13,0.010299,1120.0,942.0,3.189,11.3297,3.992,12.4,,5821.0,4.358,True,exoplanets.org
HAT-P-31 b,0.075,0.09,0.024,1.07,2.16904,1638.0,1377.0,3.676,5.0054,5.1389,10.1,354.0,6065.0,4.26,True,exoplanets.org
HAT-P-32 b,0.773,0.409,0.371,1.79,0.861516,2121.0,1783.0,2.826,2.15,3.108,10.0,283.0,6207.0,4.33,True,exoplanets.org
Kepler-206 b,0.0,0.0,0.003,0.11,0.005548,1296.0,1090.0,3.079,7.782,3.644,12.0,,5764.0,4.311,True,exoplanets.org
Kepler-207 d,0.002,0.002,0.01,0.3,0.032872,1693.0,1424.0,2.971,5.8681,3.97,11.8,,5920.0,4.129,True,exoplanets.org
HAT-P-33 b,0.413,0.226,0.23,1.69,0.763256,2114.0,1778.0,2.825,3.4745,4.4136,10.0,387.0,6446.0,4.15,True,exoplanets.org
HAT-P-34 b,0.094,0.145,0.02,1.2,3.334,1551.0,1304.0,3.979,5.4527,3.492,9.2,257.0,6442.0,4.21,True,exoplanets.org
Kepler-209 b,0.0,0.0,0.006,0.2,0.017084,865.0,727.0,3.018,16.0878,2.878,12.4,,5513.0,4.472,True,exoplanets.org
Kepler-211 c,0.0,0.0,0.005,0.12,0.007113,1040.0,875.0,3.124,6.0404,2.053,11.4,,5123.0,4.547,True,exoplanets.org
HAT-P-35 b,0.123,0.092,0.056,1.33,1.05422,1875.0,1577.0,3.17,3.6467,3.936,11.0,535.04,6096.0,4.21,True,exoplanets.org
HAT-P-36 b,0.413,0.191,0.049,1.26,1.83923,2160.0,1816.0,3.457,1.3273,2.2152,10.6,317.0,5560.0,4.37,True,exoplanets.org
Kepler-214 b,0.0,0.001,0.007,0.23,0.021019,1174.0,987.0,2.983,15.6605,7.006,12.6,,6169.0,4.249,True,exoplanets.org
Kepler-215 e,0.0,0.0,0.003,0.16,0.012912,583.0,490.0,3.118,68.161,5.654,12.0,,5739.0,4.364,True,exoplanets.org
HAT-P-37 b,0.054,0.081,0.043,1.18,1.17362,1515.0,1274.0,3.325,2.7974,2.3304,11.7,411.0,5500.0,4.52,True,exoplanets.org
HAT-P-38 b,0.016,0.049,0.097,0.82,0.267569,1283.0,1079.0,2.991,4.6404,3.0408,10.5,249.34,5330.0,4.45,True,exoplanets.org
Kepler-218 b,0.0,0.001,0.004,0.13,0.011276,1513.0,1272.0,3.205,3.6193,3.014,12.3,,5502.0,4.391,True,exoplanets.org
Kepler-219 d,0.0,0.0,0.004,0.25,0.023798,797.0,670.0,2.972,47.9036,5.719,12.4,,5786.0,4.157,True,exoplanets.org
HAT-P-39 b,0.194,0.111,0.135,1.57,0.599196,2080.0,1749.0,2.782,3.5439,4.188,11.2,642.0,6430.0,4.16,True,exoplanets.org
HAT-P-3 b,0.054,0.118,0.099,0.9,0.595712,1376.0,1157.0,3.264,2.8997,2.0592,9.4,138.7,5185.0,4.564,True,exoplanets.org
Kepler-221 b,0.001,0.001,0.008,0.15,0.01264,1381.0,1161.0,3.129,2.7959,2.064,11.9,,5243.0,4.543,True,exoplanets.org
Kepler-222 b,0.001,0.001,0.009,0.28,0.029797,1313.0,1104.0,2.968,3.937,1.828,13.2,,5433.0,4.551,True,exoplanets.org
HAT-P-40 b,0.304,0.163,0.197,1.73,0.6202,2097.0,1763.0,2.711,4.4572,6.1368,10.0,501.0,6080.0,3.93,True,exoplanets.org
HAT-P-41 b,0.63,0.275,0.246,1.69,0.800254,2301.0,1935.0,2.847,2.694,4.0896,9.7,344.0,6390.0,4.14,True,exoplanets.org
Kepler-223 d,0.0,0.001,0.007,0.27,0.026518,981.0,825.0,2.968,14.7888,5.967,13.6,,5829.0,4.397,True,exoplanets.org
Kepler-224 e,0.0,0.0,0.003,0.18,0.014533,637.0,536.0,3.067,18.6436,1.846,13.7,,5018.0,4.639,True,exoplanets.org
HAT-P-44 b,0.029,0.08,0.178,1.24,0.352,1312.0,1103.0,2.74,4.3012,3.1248,11.3,363.0,5295.0,4.46,True,exoplanets.org
HAT-P-45 b,0.264,0.178,0.136,1.43,0.892,1958.0,1647.0,3.04,3.129,3.4464,10.2,305.0,6330.0,4.3,True,exoplanets.org
Kepler-226 d,0.0,0.0,0.003,0.11,0.005874,1017.0,855.0,3.09,8.109,3.698,13.6,,5571.0,4.586,True,exoplanets.org
Kepler-228 d,0.0,0.001,0.007,0.36,0.053105,1117.0,939.0,3.006,11.0943,4.591,14.1,,6043.0,4.467,True,exoplanets.org
HAT-P-46 b,0.112,0.112,0.151,1.28,0.493,1725.0,1450.0,2.877,4.4631,3.0984,9.9,296.0,6120.0,4.25,True,exoplanets.org
HAT-P-49 b,0.578,0.211,0.074,1.41,1.72959,2528.0,2126.0,3.334,2.6915,4.1088,9.3,,6820.0,4.1,True,exoplanets.org
Kepler-230 c,0.0,0.0,0.003,0.18,0.0151,458.0,386.0,3.053,91.7732,6.034,13.3,,5588.0,4.551,True,exoplanets.org
Kepler-233 b,0.0,0.0,0.007,0.22,0.018861,937.0,788.0,2.998,8.4724,2.697,13.4,,5360.0,4.614,True,exoplanets.org
HAT-P-4 b,0.248,0.146,,1.27,0.671507,2013.0,1693.0,3.013,3.0565,4.26,,313.48,5860.0,4.36,True,exoplanets.org
HAT-P-56 b,0.356,0.181,0.056,1.47,2.18029,2185.0,1837.0,3.4,2.7908,2.2711,9.8,0.0,6566.0,3.39,True,exoplanets.org
Kepler-235 c,0.0,0.0,0.004,0.11,0.006927,653.0,549.0,3.119,7.8249,2.217,13.1,,4255.0,4.73,True,exoplanets.org
HAT-P-57 b,0.728,0.263,0.176,1.41,1.0,2611.0,2196.0,3.095,2.4653,3.4987,9.4,303.0,7500.0,4.251,True,exoplanets.org
HAT-P-5 b,0.167,0.135,0.076,1.25,1.05561,1826.0,1536.0,3.223,2.7885,2.9208,10.5,341.3,5960.0,4.368,True,exoplanets.org
Kepler-237 b,0.0,0.0,0.003,0.13,0.009602,1011.0,850.0,3.177,4.7151,2.351,13.2,,4861.0,4.583,True,exoplanets.org
Kepler-239 b,0.0,0.0,0.006,0.21,0.017787,773.0,650.0,3.009,11.7631,2.899,13.1,,4914.0,4.583,True,exoplanets.org
HAT-P-6 b,0.285,0.189,0.117,1.33,1.05957,1987.0,1671.0,3.176,3.853,3.5064,9.3,261.1,6570.0,4.218,True,exoplanets.org
HAT-P-7 b,0.738,0.235,0.069,1.36,1.7916,2644.0,2223.0,3.3,2.2047,4.0056,9.3,320.0,6389.0,4.07,True,exoplanets.org
Kepler-241 b,0.0,0.0,0.008,0.21,0.017787,674.0,566.0,3.009,12.7181,3.117,12.9,,4699.0,4.627,True,exoplanets.org
Kepler-243 c,0.0,0.0,0.002,0.18,0.014692,723.0,608.0,3.063,20.0262,1.319,13.1,,5228.0,4.565,True,exoplanets.org
HAT-P-8 b,0.56,0.302,0.135,1.5,1.29336,2105.0,1770.0,3.213,3.0763,3.8088,9.0,230.0,6200.0,4.15,True,exoplanets.org
HAT-P-9 b,0.118,0.101,0.093,1.4,0.776601,1818.0,1528.0,3.0,3.9229,3.432,11.0,480.77,6350.0,4.29,True,exoplanets.org
Kepler-245 c,0.0,0.0,0.003,0.19,0.016324,718.0,603.0,3.029,17.4608,2.244,13.6,,5100.0,4.56,True,exoplanets.org
Kepler-247 c,0.0,0.001,0.012,0.36,0.054822,866.0,728.0,3.009,9.4395,2.896,13.1,,5100.0,4.608,True,exoplanets.org
HATS-10 b,0.044,0.048,0.046,0.97,0.526,1671.0,1405.0,3.139,3.3128,3.0072,11.5,496.0,5880.0,4.392,True,exoplanets.org
HATS-13 b,0.043,0.073,0.089,1.21,0.542398,1479.0,1244.0,2.962,3.044,2.6347,12.0,476.0,5523.0,4.524,True,exoplanets.org
Kepler-249 c,0.0,0.0,0.006,0.13,0.012045,527.0,443.0,3.216,7.1137,2.219,12.0,,3568.0,4.777,True,exoplanets.org
Kepler-249 d,0.0,0.0,0.006,0.14,0.01173,408.0,343.0,3.171,15.3685,2.697,12.0,,3568.0,4.777,True,exoplanets.org
HATS-14 b,0.035,0.052,0.026,1.04,1.0682,1514.0,1273.0,3.39,2.7667,2.6422,12.0,513.0,5346.0,4.484,True,exoplanets.org
HATS-1 b,0.106,0.127,0.047,1.3,1.86507,1624.0,1366.0,3.438,3.4465,2.4168,10.6,303.0,5870.0,4.4,True,exoplanets.org
Kepler-251 c,0.0,0.0,0.006,0.25,0.023208,838.0,705.0,2.974,16.514,4.108,13.6,,5526.0,4.486,True,exoplanets.org
Kepler-251 d,0.0,0.0,0.005,0.25,0.023208,686.0,577.0,2.974,30.133,4.919,13.6,,5526.0,4.486,True,exoplanets.org
HATS-2 b,0.202,0.135,0.046,1.17,1.34915,1871.0,1574.0,3.392,1.3541,2.0688,11.4,360.0,5227.0,4.48,True,exoplanets.org
HATS-3 b,0.176,0.119,0.074,1.38,1.0735,1957.0,1646.0,3.146,3.5479,3.5856,10.7,453.0,6351.0,4.22,True,exoplanets.org
HATS-4 b,0.067,0.071,0.027,1.02,1.323,1646.0,1384.0,3.48,2.1567,2.5272,11.6,420.0,5403.0,4.51,True,exoplanets.org
HATS-5 b,0.013,0.054,0.142,0.91,0.237663,1218.0,1024.0,2.852,4.7634,2.9856,10.7,257.0,5304.0,4.53,True,exoplanets.org
HATS-6 b,0.002,0.053,0.146,1.0,0.319,846.0,711.0,2.904,3.3253,2.041,11.2,148.4,3724.0,4.683,True,exoplanets.org
Kepler-252 c,0.0,0.0,0.01,0.19,0.016051,577.0,485.0,3.034,10.8485,2.976,12.5,,4208.0,4.721,True,exoplanets.org
Kepler-253 b,0.0,0.0,0.003,0.15,0.012112,1213.0,1020.0,3.152,3.784,1.932,13.5,,5208.0,4.595,True,exoplanets.org
HATS-9 b,0.139,0.063,0.029,1.06,0.837,2158.0,1815.0,3.263,1.9153,3.4968,11.5,622.0,5366.0,4.095,True,exoplanets.org
Kepler-254 b,0.0,0.001,0.007,0.35,0.047531,1293.0,1087.0,2.995,5.8267,3.032,14.3,,5957.0,4.524,True,exoplanets.org
Kepler-255 b,0.0,0.0,0.002,0.14,0.011604,1233.0,1037.0,3.177,5.7146,2.238,13.7,,5573.0,4.516,True,exoplanets.org
Kepler-255 c,0.0,0.001,0.006,0.27,0.026689,1025.0,862.0,2.968,9.946,3.38,13.7,,5573.0,4.516,True,exoplanets.org
Kepler-257 d,0.0,0.001,0.006,0.44,0.081226,742.0,624.0,3.014,24.6646,2.655,13.4,,5180.0,4.36,True,exoplanets.org
Kepler-258 b,0.0,0.001,0.009,0.36,0.053798,819.0,689.0,3.007,13.1972,3.418,13.0,,4942.0,4.441,True,exoplanets.org
Kepler-235 d,0.0,0.0,0.006,0.18,0.015183,477.0,401.0,3.051,20.0605,3.312,13.1,,4255.0,4.73,True,exoplanets.org
Kepler-235 e,0.0,0.0,0.006,0.2,0.016698,361.0,304.0,3.023,46.1837,4.833,13.1,,4255.0,4.73,True,exoplanets.org
Kepler-259 c,0.0,0.0,0.005,0.24,0.022217,692.0,582.0,2.977,36.9249,4.723,13.6,,5938.0,4.532,True,exoplanets.org
Kepler-260 b,0.0,0.001,0.006,0.18,0.014854,990.0,833.0,3.059,8.1874,3.027,12.5,,5250.0,4.494,True,exoplanets.org
Kepler-237 c,0.0,0.0,0.006,0.19,0.015437,844.0,709.0,3.046,8.1036,3.15,13.2,,4861.0,4.583,True,exoplanets.org
Kepler-238 b,0.001,0.001,0.002,0.15,0.012776,2202.0,1852.0,3.124,2.0909,3.193,13.5,,5751.0,4.194,True,exoplanets.org
Kepler-239 c,0.0,0.0,0.005,0.22,0.019783,459.0,386.0,2.99,56.2281,3.7,13.1,,4914.0,4.583,True,exoplanets.org
Kepler-23 d,0.0,0.001,0.005,0.2,0.01651,1197.0,1006.0,3.026,15.2743,6.094,12.0,,5828.0,4.091,True,exoplanets.org
Kepler-261 c,0.0,0.0,0.007,0.18,0.014772,640.0,538.0,3.061,24.5709,2.761,11.6,,5098.0,4.561,True,exoplanets.org
Kepler-262 b,0.0,0.0,0.003,0.12,0.008507,953.0,802.0,3.156,13.0609,3.278,12.7,,5841.0,4.541,True,exoplanets.org
Kepler-241 c,0.0,0.0,0.008,0.23,0.020513,476.0,400.0,2.986,36.066,4.273,12.9,,4699.0,4.627,True,exoplanets.org
Kepler-242 b,0.0,0.001,0.006,0.23,0.021019,940.0,790.0,2.983,8.204,2.74,13.2,,5020.0,4.492,True,exoplanets.org
Kepler-244 b,0.0,0.001,0.008,0.25,0.023063,1252.0,1053.0,2.974,4.3118,2.735,13.7,,5554.0,4.585,True,exoplanets.org
Kepler-244 c,0.0,0.0,0.003,0.18,0.015183,953.0,802.0,3.051,9.7673,1.373,13.7,,5554.0,4.585,True,exoplanets.org
